id, mass.colonies, mass.comb, mass.box, date
1.6, 438.92, 4.12, 427.24, 2018-05-31
3.7, 441.01, 2.26, 433.48, 2018-05-31
1.2, 440.92, 3.14, NA, 2018-05-31
3.3, 440.02, 2.74, 433.61, 2018-05-31
2.6, 454.83, 7.03, NA, 2018-05-31
2.2, 443.56, 9.50, 426.63, 2018-05-31
1.3, 442.71, 4.49, 435.04, 2018-05-31
1.7, 443.21, 5.30, 433.31, 2018-05-31
1.5, 444.44, 5.06, 435.98, 2018-05-31
3.5, 436.94, 5.87, 425.11, 2018-05-31
3.6, 439.01, 3.23, 431.95, 2018-05-31
4.2, 443.77, 3.34, 435.18, 2018-05-31
2.7, 440.08, 4.72, 423.87, 2018-05-31
3.4, 440.45, 6.34, 429.60, 2018-05-31
4.4, 434.61, 3.94, 424.57, 2018-05-31
3.1, 438.81, 4.15, 426.20, 2018-05-31
2.4, 444.55, 5.41, 430.90, 2018-05-31
3.2, 440.90, 4.31, 429.79, 2018-05-31
4.7, 434.60, 3.15, NA, 2018-05-31
2.1, 450.80, 12.89, 427.54, 2018-05-31
2.3, 447.51, 9.75, 427.46, 2018-05-31
2.5, 448.80, 9.20, 432.15, 2018-05-31
4.6, 445.96, 4.20, 436.26, 2018-05-31
4.1, 444.68, 3.95, 434.88, 2018-05-31