Date (2018-9),Colony ID,Number of Drones,Total Mass of Drones (g),Average Drone Mass (g)
1/3/19,4.7,3,0.1644,0.0548
1/3/19,4.4,2,0.209,0.1045
1/3/19,3.4,1,0.0478,0.0478
1/3/19,3.5,1,0.1107,0.1107
1/3/19,3.3,2,0.1327,0.06635
1/3/19,2.3,1,0.1411,0.1411
1/3/19,3.2,1,0.0935,0.0935
1/6/19,2.1,1,0.1215,0.1215
1/6/19,2.3,4,0.4915,0.122875
1/6/19,4.4,1,0.0491,0.0491
1/9/19,2.1,2,0.2416,0.1208
1/9/19,4.7,3,0.2961,0.0987
1/9/19,2.6,5,0.6809,0.13618
1/9/19,2.5,1,0.0932,0.0932
1/9/19,1.4,1,0.0592,0.0592
1/9/19,4.4,1,0.0426,0.0426
1/23/19,4.6,,,
1/23/19,4.4,,,
1/23/19,1.7,,,
1/23/19,2.2,,,
1/23/19,2.5,0,,
1/23/19,2.4,3,0.3496,0.116533333
1/23/19,2.3,1,0.1092,0.1092
1/23/19,4.3,,,
1/23/19,1.5,2,0.1079,0.05395
1/23/19,3.6,0,,
1/23/19,4.2,0,,
1/23/19,2.6,1,0.1286,0.1286
1/23/19,4.7,3,0.1747,0.058233333
1/23/19,2.1,6,0.5442,0.0907
1/23/19,1.6,0,,
1/23/19,3.4,0,,
1/23/19,1.2,0,,
1/23/19,4.1,3,0.2978,0.099266667
1/23/19,3.5,0,,
1/23/19,1.1,2,0.2403,0.12015
1/23/19,1.3,0,,
1/23/19,1.4,0,,
1/23/19,3.2,6,0.914,0.152333333
1/23/19,3.3,0,,
11/28/18,2.2,2,0.2688,0.1344
12/1/18,2.3,1,0.0556,0.0556
12/1/18,2.6,1,0.1182,0.1182
12/1/18,1.6,1,0.126,0.126
12/3/18,4.2,1,0.0956,0.0956
12/3/18,4.4,1,0.1227,0.1227
12/3/18,3.4,1,0.1673,0.1673
12/3/18,4.3,1,0.1225,0.1225
12/6/18,2.2,1,0.168,0.168
12/6/18,4.4,1,0.1287,0.1287
12/6/18,3.4,6,0.7287,0.12145
12/6/18,4.3,3,0.353,0.117666667
12/6/18,1.4,3,0.3162,0.1054
12/6/18,3.1,2,0.2578,0.1289
12/6/18,1.6,5,0.4431,0.08862
12/6/18,3.6,3,0.358,0.119333333
12/6/18,2.6,1,0.0934,0.0934
12/6/18,2.3,3,0.3,0.1
12/6/18,1.5,3,0.1894,0.063133333
12/6/18,2.4,2,0.1934,0.0967
12/9/18,4.1,4,0.3418,0.08545
12/9/18,4.2,1,0.0752,0.0752
12/9/18,4.3,1,0.1077,0.1077
12/9/18,1.1,1,0.073,0.073
12/9/18,1.4,3,0.4123,0.137433333
12/9/18,1.5,1,0.0395,0.0395
12/9/18,1.6,1,0.0894,0.0894
12/9/18,2.5,2,0.2796,0.1398
12/9/18,2.4,1,0.12,0.12
12/9/18,2.6,1,0.1662,0.1662
12/9/18,3.5,2,0.2521,0.12605
12/12/18,1.1,3,0.378,0.126
12/12/18,3.7,1,0.0592,0.0592
12/12/18,1.6,1,0.071,0.071
12/12/18,2.4,4,0.4087,0.102175
12/12/18,4.2,2,0.1914,0.0957
12/12/18,4.1,1,0.0462,0.0462
12/15/18,1.1,2,0.2374,0.1187
12/15/18,2.4,2,0.1745,0.08725
12/15/18,2.2,5,0.5497,0.10994
12/15/18,3.1,1,0.0754,0.0754
12/15/18,2.5,1,0.1281,0.1281
12/18/18,3.7,1,0.1108,0.1108
12/18/18,4.1,2,0.1933,0.09665
12/18/18,3.4,7,0.7248,0.103542857
12/18/18,2.6,2,0.3032,0.1516
12/21/18,1.1,2,0.1371,0.06855
12/21/18,1.3,2,0.1925,0.09625
12/21/18,2.1,3,0.365,0.121666667
12/21/18,2.2,3,0.2157,0.0719
12/21/18,2.3,1,0.0638,0.0638
12/21/18,3.3,1,0.1422,0.1422
12/21/18,3.4,10,1.0123,0.10123
12/21/18,4.4,2,0.2379,0.11895
12/30/18,1.3,2,0.1971,0.09855
12/30/18,1.4,1,0.1681,0.1681
12/30/18,1.6,3,0.3397,0.113233333
12/30/18,1.2,5,0.4253,0.08506
12/30/18,2.4,1,0.1053,0.1053
12/30/18,2.5,7,1.1065,0.158071429
12/30/18,2.6,3,0.2887,0.096233333
12/30/18,3.1,7,0.885,0.126428571
12/30/18,3.2,5,0.6465,0.1293
12/30/18,3.4,2,0.1862,0.0931
12/30/18,3.6,5,0.4097,0.08194
12/30/18,3.7,1,0.0951,0.0951
12/30/18,4.2,1,0.0914,0.0914
12/30/18,4.3,5,0.6253,0.12506
12/30/18,4.4,3,0.2549,0.084966667
12/9/18,3.7,1,0.0908,
12/6/18,4.7,2,0.2435,
12/18/18,1.2,2,0.1927,
12/18/18,2.1,1,0.1335,
1/6/19,1.3,2,0.1694,
1/3/19,2.5,2,0.1416,
1/23/19,3.1,0,,
1/23/19,3.7,0,,
12/6/18,3.2,2,0.1927,
1/23/19,2.7,0,,
1/23/19,4.5,1,0.1073,
1/3/19,3.1,2,0.2633,
1/3/19,2.4,2,0.2212,
12/18/18,2.2,4,0.3937,
12/15/18,4.1,2,0.1617,
12/9/18,3.6,1,0.1422,