id,date,p_mass_rm,p_mass_fd,n_mass_fd,n_mass_rm,p_mass_cons,p_mass_cons_avg,n_mass_cons,treatment,fd.day,mc_mass,mc_mass_init,fd.day.count,mc_mass_true,pulse.cat,pulse_cat,mc_mass_true_intrp
3.6,2018-05-14,NA,1.04,13.64,7.58,NA,0.6666666666666666,6.209999999999999,zone.3,17,438.17,432.78,2,4.97666666666671,a2,a2,4.97666666666671
4.2,2018-03-15,0,2,11.11,0,NA,0.6666666666666666,0,zone.4,1,442.67,439.67,1,3.6666666666666665,b1,b1,3.6666666666666665
4.2,2018-03-18,NA,0.83,12.71,6.6,NA,0.6666666666666666,4.51,zone.4,2,442.44,439.67,2,1.4366666666666483,b1,b1,1.4366666666666483
4.2,2018-03-22,NA,0.82,11.79,6.29,NA,0.6666666666666666,6.420000000000001,zone.4,3,442.79,439.67,3,0.9566666666666711,b1,b1,0.9566666666666711
4.2,2018-03-26,1.65,0.8,13.32,6.3,2,0.9933333333333335,5.489999999999999,zone.4,4,443.81,439.67,0,1.48333333333332,p1,p1,1.48333333333332
4.2,2018-03-29,NA,1.73,19.6,7.98,NA,0.9933333333333335,5.34,zone.4,5,443.02,439.67,1,4.343333333333299,p1,p1,4.343333333333299
4.2,2018-04-01,NA,1.8,20.46,11.58,NA,0.9933333333333335,8.020000000000001,zone.4,6,445.31,439.67,2,4.90333333333332,p1,p1,4.90333333333332
4.2,2018-04-05,NA,1.78,20.17,8.65,NA,0.9933333333333335,11.81,zone.4,7,446.89,439.67,3,4.683333333333304,a1.b2,a1.b2,4.683333333333304
4.2,2018-04-09,3.13,0.76,10.99,10.01,2.9800000000000004,0.53,10.160000000000002,zone.4,8,447.54,439.67,0,3.0900000000000043,a1.b2,a1.b2,3.0900000000000043
4.2,2018-04-13,NA,0.82,12.01,7.39,NA,0.53,3.6000000000000005,zone.4,9,443.68,439.67,1,4.539999999999991,a1.b2,a1.b2,4.539999999999991
4.2,2018-04-16,NA,0.76,13.36,7.12,NA,0.53,4.89,zone.4,10,443.07,439.67,2,3.1099999999999772,a1.b2,a1.b2,3.1099999999999772
4.2,2018-04-20,NA,0.75,12.48,6.85,NA,0.53,6.51,zone.4,11,442.42,439.67,3,1.7,p2,p2,1.7
4.2,2018-04-24,0.97,1.76,20.64,6.39,2.12,0.7000000000000001,6.090000000000001,zone.4,12,442.5,439.67,0,1.1999999999999842,p2,p2,1.1999999999999842
4.2,2018-04-28,NA,1.8,21.43,8.58,NA,0.7000000000000001,12.06,zone.4,13,NA,439.67,1,NA,p2,p2,3.4699999999999798
4.2,2018-05-02,NA,1.72,20.37,13.74,NA,0.7000000000000001,7.6899999999999995,zone.4,14,446.51,439.67,2,5.739999999999975,a2,a2,5.739999999999975
4.2,2018-05-07,2.48,0.79,12.55,12.33,2.8000000000000003,1.07,8.040000000000001,zone.4,15,446.58,439.67,3,4.459999999999969,a2,a2,4.459999999999969
4.2,2018-05-11,NA,0.75,11.29,6.72,NA,1.07,5.830000000000001,zone.4,16,NA,439.67,1,NA,a2,a2,4.179999999999977
4.2,2018-05-14,NA,0.82,12.37,6.51,NA,1.07,4.779999999999999,zone.4,17,443.25,439.67,2,3.8999999999999844,a2,a2,3.8999999999999844
2.7,2018-03-15,0,2,23.78,0,NA,1.07,0,zone.2,1,429.84,426.84,1,4.07,b1,b1,4.07
2.7,2018-03-18,NA,2.1,24.48,17.25,NA,1.07,6.530000000000001,zone.2,2,430.51,426.84,2,2.740000000000016,b1,b1,2.740000000000016
2.7,2018-03-22,NA,2.16,17.44,15.44,NA,1.07,9.040000000000001,zone.2,3,432.1,426.84,3,2.2300000000000475,b1,b1,2.2300000000000475
2.7,2018-03-26,3.05,2.15,17.48,9.06,3.21,1.253333333333333,8.38,zone.2,4,434.72,426.84,0,2.873333333333385,p1,p1,2.873333333333385
2.7,2018-03-29,NA,2.09,17.96,10.91,NA,1.253333333333333,6.57,zone.2,5,433.72,426.84,1,8.133333333333386,p1,p1,8.133333333333386
2.7,2018-04-01,NA,2.12,20.04,11.15,NA,1.253333333333333,6.8100000000000005,zone.2,6,434.33,426.84,2,6.653333333333342,p1,p1,6.653333333333342
2.7,2018-04-05,NA,2.09,17.79,7.9,NA,1.253333333333333,12.139999999999999,zone.2,7,435.8,426.84,3,6.003333333333369,a1.b2,a1.b2,6.003333333333369
2.7,2018-04-09,4.69,2.1,17.84,7.57,3.759999999999999,1.9033333333333335,10.219999999999999,zone.2,8,437.31,426.84,0,6.073333333333361,a1.b2,a1.b2,6.073333333333361
2.7,2018-04-13,NA,2.05,18.62,10.18,NA,1.9033333333333335,7.66,zone.2,9,435.19,426.84,1,10.253333333333357,a1.b2,a1.b2,10.253333333333357
2.7,2018-04-16,NA,2.1,18.7,11.81,NA,1.9033333333333335,6.8100000000000005,zone.2,10,433.79,426.84,2,6.803333333333379,a1.b2,a1.b2,6.803333333333379
2.7,2018-04-20,NA,2.12,20.13,11.78,NA,1.9033333333333335,6.92,zone.2,11,434.7,426.84,3,5.6133333333333475,p2,p2,5.6133333333333475
2.7,2018-04-24,2.66,2.08,18.94,8.54,5.710000000000001,1.1800000000000002,11.59,zone.2,12,435.98,426.84,0,4.050000000000043,p2,p2,4.050000000000043
2.7,2018-04-28,NA,2.06,18.48,8.84,NA,1.1800000000000002,10.100000000000001,zone.2,13,NA,426.84,1,NA,p2,p2,7.150000000000047
2.7,2018-05-02,NA,2.01,19.48,12.88,NA,1.1800000000000002,5.6,zone.2,14,437.97,426.84,2,10.250000000000052,a2,a2,10.250000000000052
2.7,2018-05-07,1.43,2,18.54,9.77,4.720000000000001,0.41250000000000003,9.71,zone.2,15,438.81,426.84,3,8.312500000000027,a2,a2,8.312500000000027
2.7,2018-05-11,NA,2.11,18.96,11.2,NA,0.41250000000000003,7.34,zone.2,16,NA,426.84,1,NA,a2,a2,9.397500000000017
2.7,2018-05-14,NA,2.09,19.96,13.75,NA,0.41250000000000003,5.210000000000001,zone.2,17,439.02,426.84,2,10.482500000000007,a2,a2,10.482500000000007
4.7,2018-03-15,0,2,13.08,0,NA,0.41250000000000003,0,zone.4,1,432.93,429.93,1,3.4125,b1,b1,3.4125
4.7,2018-03-18,NA,0.81,15.32,7.99,NA,0.41250000000000003,5.09,zone.4,2,433.03,429.93,2,1.512499999999966,b1,b1,1.512499999999966
4.7,2018-03-22,NA,0.83,10.65,7.65,NA,0.41250000000000003,7.67,zone.4,3,433.51,429.93,3,1.1824999999999841,b1,b1,1.1824999999999841
4.7,2018-03-26,1.99,0.8,12.33,6,1.6500000000000001,0.9966666666666666,4.65,zone.4,4,434.08,429.93,0,1.5066666666666437,p1,p1,1.5066666666666437
4.7,2018-03-29,NA,1.75,19.94,7.91,NA,0.9966666666666666,4.42,zone.4,5,437.34,429.93,1,8.406666666666634,p1,p1,8.406666666666634
4.7,2018-04-01,NA,1.75,20.65,13.57,NA,0.9966666666666666,6.370000000000001,zone.4,6,434.64,429.93,2,3.956666666666646,p1,p1,3.956666666666646
4.7,2018-04-05,NA,1.75,20.15,11.98,NA,0.9966666666666666,8.669999999999998,zone.4,7,435.5,429.93,3,3.0666666666666598,a1.b2,a1.b2,3.0666666666666598
4.7,2018-04-09,3.06,0.75,11.6,11.89,2.9899999999999998,0.7166666666666667,8.259999999999998,zone.4,8,436.59,429.93,0,2.126666666666635,a1.b2,a1.b2,2.126666666666635
4.7,2018-04-13,NA,0.83,11.84,7.52,NA,0.7166666666666667,4.08,zone.4,9,433.27,429.93,1,4.056666666666642,a1.b2,a1.b2,4.056666666666642
4.7,2018-04-16,NA,0.69,11.45,6.3,NA,0.7166666666666667,5.54,zone.4,10,431.1,429.93,2,1.0566666666666826,a1.b2,a1.b2,1.0566666666666826
4.7,2018-04-20,NA,0.78,12.64,7.39,NA,0.7166666666666667,4.06,zone.4,11,432.52,429.93,3,1.7866666666666418,p2,p2,1.7866666666666418
4.7,2018-04-24,0.9,1.76,20.82,8.01,2.15,0.4966666666666666,4.630000000000001,zone.4,12,432.6,429.93,0,0.8666666666666826,p2,p2,0.8666666666666826
4.7,2018-04-28,NA,1.72,21.49,16.97,NA,0.4966666666666666,3.8500000000000014,zone.4,13,NA,429.93,1,NA,p2,p2,2.686666666666684
4.7,2018-05-02,NA,1.78,22.17,18.45,NA,0.4966666666666666,3.039999999999999,zone.4,14,435.66,429.93,2,4.5066666666666855,a2,a2,4.5066666666666855
4.7,2018-05-07,3.77,0.78,12.9,10.02,1.4899999999999998,0.9500000000000001,12.150000000000002,zone.4,15,439.73,429.93,3,7.250000000000012,a2,a2,7.250000000000012
4.7,2018-05-11,NA,0.79,11.81,7.98,NA,0.9500000000000001,4.92,zone.4,16,NA,429.93,1,NA,a2,a2,5.980000000000012
4.7,2018-05-14,NA,0.8,11.84,0,NA,0.9500000000000001,0,zone.4,17,434.48,429.93,2,4.7100000000000115,a2,a2,4.7100000000000115
2.4,2018-03-15,0,2,19.08,0,NA,0.9500000000000001,0,zone.2,1,437.1,434.1,1,3.95,b1,b1,3.95
2.4,2018-03-18,NA,2.06,18.27,12.88,NA,0.9500000000000001,6.1999999999999975,zone.2,2,437.43,434.1,2,2.2799999999999843,b1,b1,2.2799999999999843
2.4,2018-03-22,NA,2.13,20.93,10.33,NA,0.9500000000000001,7.9399999999999995,zone.2,3,438.69,434.1,3,1.4799999999999751,b1,b1,1.4799999999999751
2.4,2018-03-26,2.39,2.12,22.53,13.26,3.8000000000000003,0.7025000000000001,7.67,zone.2,4,440.26,434.1,0,0.6724999999999683,p1,p1,0.6724999999999683
2.4,2018-03-29,NA,2.06,17.67,16.29,NA,0.7025000000000001,6.240000000000002,zone.2,5,439.81,434.1,1,6.41249999999998,p1,p1,6.41249999999998
2.4,2018-04-01,NA,2.04,19.06,17.67,NA,0.7025000000000001,0,zone.2,6,440.27,434.1,2,4.812499999999959,p1,p1,4.812499999999959
2.4,2018-04-05,NA,2.08,18.66,9.65,NA,0.7025000000000001,9.409999999999998,zone.2,7,441.56,434.1,3,4.06249999999998,a1.b2,a1.b2,4.06249999999998
2.4,2018-04-09,5.49,2.1,17.53,9.47,2.8100000000000005,0.8533333333333335,9.19,zone.2,8,442.54,434.1,0,3.113333333333331,a1.b2,a1.b2,3.113333333333331
2.4,2018-04-13,NA,2.05,19.48,11.36,NA,0.8533333333333335,6.170000000000002,zone.2,9,439.08,434.1,1,5.833333333333295,a1.b2,a1.b2,5.833333333333295
2.4,2018-04-16,NA,2.16,16.72,12.76,NA,0.8533333333333335,6.720000000000001,zone.2,10,438.04,434.1,2,2.7433333333333314,a1.b2,a1.b2,2.7433333333333314
2.4,2018-04-20,NA,2.09,18.86,13.23,NA,0.8533333333333335,3.4899999999999984,zone.2,11,440.64,434.1,3,3.183333333333297,p2,p2,3.183333333333297
2.4,2018-04-24,5.84,2.03,18.39,15.47,2.5600000000000005,0.39333333333333326,3.389999999999999,zone.2,12,439.3,434.1,0,-0.7066666666666779,p2,p2,-0.7066666666666779
2.4,2018-04-28,NA,2.08,18.52,9.68,NA,0.39333333333333326,8.71,zone.2,13,NA,434.1,1,NA,p2,p2,3.0083333333333115
2.4,2018-05-02,NA,1.99,NA,14.09,NA,0.39333333333333326,4.43,zone.2,14,442.51,434.1,2,6.723333333333302,a2,a2,6.723333333333302
2.4,2018-05-07,4.92,2.02,19.52,12.55,1.1799999999999997,1.04,0,zone.2,15,444.18,434.1,3,7.049999999999984,a2,a2,7.049999999999984
2.4,2018-05-11,NA,2.6,19.04,15.98,NA,1.04,3.539999999999999,zone.2,16,NA,434.1,1,NA,a2,a2,6.954999999999972
2.4,2018-05-14,NA,2.06,19.99,12.92,NA,1.04,6.119999999999999,zone.2,17,442.52,434.1,2,6.8599999999999595,a2,a2,6.8599999999999595
3.2,2018-03-15,0,2,14.75,0,NA,1.04,0,zone.3,1,435.68,432.68,1,4.04,b1,b1,4.04
3.2,2018-03-18,NA,1.12,14.63,7.64,NA,1.04,7.11,zone.3,2,435.85,432.68,2,2.210000000000016,b1,b1,2.210000000000016
3.2,2018-03-22,NA,1.04,13.86,7.41,NA,1.04,7.220000000000001,zone.3,3,435.26,432.68,3,0.499999999999984,b1,b1,0.499999999999984
3.2,2018-03-26,1.04,1.16,15.29,5.98,3.12,1.0525,7.879999999999999,zone.3,4,436.02,432.68,0,0.23249999999997484,p1,p1,0.23249999999997484
3.2,2018-03-29,NA,3.1,25.75,8.48,NA,1.0525,6.809999999999999,zone.3,5,440.19,432.68,1,8.562499999999991,p1,p1,8.562499999999991
3.2,2018-04-01,NA,3.08,26.46,15.97,NA,1.0525,9.78,zone.3,6,438.73,432.68,2,4.002500000000011,p1,p1,4.002500000000011
3.2,2018-04-05,NA,3.17,25.48,13.62,NA,1.0525,12.840000000000002,zone.3,7,443.68,432.68,3,5.8725000000000005,a1.b2,a1.b2,5.8725000000000005
3.2,2018-04-09,6.3,1.04,13.48,14.47,4.21,0.6074999999999999,11.01,zone.3,8,442.98,432.68,0,1.5575000000000112,a1.b2,a1.b2,1.5575000000000112
3.2,2018-04-13,NA,1.04,13.87,7.39,NA,0.6074999999999999,6.090000000000001,zone.3,9,436.99,432.68,1,4.917500000000002,a1.b2,a1.b2,4.917500000000002
3.2,2018-04-16,NA,1.02,12.61,6,NA,0.6074999999999999,7.869999999999999,zone.3,10,435.16,432.68,2,2.047500000000018,a1.b2,a1.b2,2.047500000000018
3.2,2018-04-20,NA,1.11,13.75,7.26,NA,0.6074999999999999,5.35,zone.3,11,436.32,432.68,3,2.1874999999999862,p2,p2,2.1874999999999862
3.2,2018-04-24,1.78,3.11,24.89,6.97,2.4299999999999997,0.9866666666666667,6.78,zone.3,12,438.31,432.68,0,3.446666666666662,p2,p2,3.446666666666662
3.2,2018-04-28,NA,3.08,24.46,9.33,NA,0.9866666666666667,15.56,zone.3,13,NA,432.68,1,NA,p2,p2,6.426666666666664
3.2,2018-05-02,NA,3.06,26.16,17.31,NA,0.9866666666666667,7.150000000000002,zone.3,14,444.18,432.68,2,9.406666666666666,a2,a2,9.406666666666666
3.2,2018-05-07,6.29,1.06,14.32,13.08,2.96,0.36666666666666653,13.08,zone.3,15,447.63,432.68,3,9.176666666666655,a2,a2,9.176666666666655
3.2,2018-05-11,NA,1.08,14.89,7.83,NA,0.36666666666666653,6.49,zone.3,16,NA,432.68,1,NA,a2,a2,8.306666666666649
3.2,2018-05-14,NA,1.03,15.74,8.77,NA,0.36666666666666653,6.120000000000001,zone.3,17,440.83,432.68,2,7.4366666666666434,a2,a2,7.4366666666666434
1.3,2018-03-15,0,2,13.34,0,NA,0.36666666666666653,0,zone.1,1,441.01,438.01,1,3.3666666666666667,b1,b1,3.3666666666666667
1.3,2018-03-18,NA,1.1,13.98,7.69,NA,0.36666666666666653,5.6499999999999995,zone.1,2,440.43,438.01,2,0.7866666666666824,b1,b1,0.7866666666666824
1.3,2018-03-22,NA,1,13.98,7.56,NA,0.36666666666666653,6.420000000000001,zone.1,3,440.55,438.01,3,-0.1933333333333131,b1,b1,-0.1933333333333131
1.3,2018-03-26,3,1.06,13.93,6.73,1.0999999999999996,0.5200000000000001,7.25,zone.1,4,441.96,438.01,0,0.36999999999998867,p1,p1,0.36999999999998867
1.3,2018-03-29,NA,1.06,14.52,7.73,NA,0.5200000000000001,6.199999999999999,zone.1,5,440.08,438.01,1,2.589999999999993,p1,p1,2.589999999999993
1.3,2018-04-01,NA,1.13,14.77,6.98,NA,0.5200000000000001,7.539999999999999,zone.1,6,440.92,438.01,2,2.370000000000025,p1,p1,2.370000000000025
1.3,2018-04-05,NA,1.07,14.33,7.3,NA,0.5200000000000001,7.47,zone.1,7,440.63,438.01,3,0.9500000000000047,a1.b2,a1.b2,0.9500000000000047
1.3,2018-04-09,2.76,1.04,14.18,7.14,1.5600000000000005,0.69,7.19,zone.1,8,440.79,438.01,0,0.2100000000000295,a1.b2,a1.b2,0.2100000000000295
1.3,2018-04-13,NA,1.12,13.15,7.99,NA,0.69,6.1899999999999995,zone.1,9,439.68,438.01,1,2.360000000000016,a1.b2,a1.b2,2.360000000000016
1.3,2018-04-16,NA,1.12,13.22,6.03,NA,0.69,7.12,zone.1,10,438.71,438.01,2,0.26999999999998847,a1.b2,a1.b2,0.26999999999998847
1.3,2018-04-20,NA,1.05,14.14,8.22,NA,0.69,5,zone.1,11,439.86,438.01,3,0.30000000000002247,p2,p2,0.30000000000002247
1.3,2018-04-24,1.57,1.14,13.33,7.26,2.76,0.42499999999999993,6.880000000000001,zone.1,12,440.16,438.01,0,-0.7149999999999662,p2,p2,-0.7149999999999662
1.3,2018-04-28,NA,1,12.24,7.69,NA,0.42499999999999993,5.64,zone.1,13,NA,438.01,1,NA,p2,p2,1.0750000000000157
1.3,2018-05-02,NA,1.04,14.32,7.5,NA,0.42499999999999993,4.74,zone.1,14,441.45,438.01,2,2.8649999999999975,a2,a2,2.8649999999999975
1.3,2018-05-07,1.48,1.01,13.55,6.98,1.6999999999999997,1.1133333333333335,7.34,zone.1,15,441.72,438.01,3,2.7833333333333696,a2,a2,2.7833333333333696
1.3,2018-05-11,NA,1.06,14.78,7.16,NA,1.1133333333333335,6.390000000000001,zone.1,16,NA,438.01,1,NA,a2,a2,3.623333333333364
1.3,2018-05-14,NA,1.01,14.29,7.34,NA,1.1133333333333335,7.4399999999999995,zone.1,17,442.42,438.01,2,4.463333333333359,a2,a2,4.463333333333359
1.5,2018-03-15,0,2,13.89,0,NA,1.1133333333333335,0,zone.1,1,441.04,438.04,1,4.113333333333333,b1,b1,4.113333333333333
1.5,2018-03-18,NA,1.09,13.82,7.45,NA,1.1133333333333335,6.44,zone.1,2,440.24,438.04,2,1.3133333333333221,b1,b1,1.3133333333333221
1.5,2018-03-22,NA,1.15,13.05,7.63,NA,1.1133333333333335,6.19,zone.1,3,440.8,438.04,3,0.7833333333333243,b1,b1,0.7833333333333243
1.5,2018-03-26,0.9,1.12,14.78,6.73,3.3400000000000003,0.9733333333333335,6.32,zone.1,4,440.88,438.04,0,-0.4266666666666915,p1,p1,-0.4266666666666915
1.5,2018-03-29,NA,1.03,15.67,8.34,NA,0.9733333333333335,6.4399999999999995,zone.1,5,441.26,438.04,1,4.193333333333304,p1,p1,4.193333333333304
1.5,2018-04-01,NA,1.12,15.52,8.69,NA,0.9733333333333335,6.98,zone.1,6,441.36,438.04,2,3.2633333333333265,p1,p1,3.2633333333333265
1.5,2018-04-05,NA,1.17,13.52,8.31,NA,0.9733333333333335,7.209999999999999,zone.1,7,441.17,438.04,3,1.9533333333333287,a1.b2,a1.b2,1.9533333333333287
1.5,2018-04-09,1.52,1.11,14,6.67,2.9200000000000004,0.7000000000000002,6.85,zone.1,8,441.34,438.04,0,0.6799999999999546,a1.b2,a1.b2,0.6799999999999546
1.5,2018-04-13,NA,1.08,13.81,7.75,NA,0.7000000000000002,6.25,zone.1,9,442.07,438.04,1,4.729999999999973,a1.b2,a1.b2,4.729999999999973
1.5,2018-04-16,NA,1.02,12.9,6.89,NA,0.7000000000000002,6.920000000000001,zone.1,10,439.39,438.04,2,0.969999999999966,a1.b2,a1.b2,0.969999999999966
1.5,2018-04-20,NA,1.14,14.99,8.64,NA,0.7000000000000002,4.26,zone.1,11,441.96,438.04,3,2.519999999999959,p2,p2,2.519999999999959
1.5,2018-04-24,2.25,1.02,14.7,8.91,2.1000000000000005,0.3500000000000001,6.08,zone.1,12,442.52,438.04,0,1.5899999999999617,p2,p2,1.5899999999999617
1.5,2018-04-28,NA,1.09,12.27,8.21,NA,0.3500000000000001,6.489999999999998,zone.1,13,NA,438.04,1,NA,p2,p2,2.299999999999981
1.5,2018-05-02,NA,1.06,14.31,8.12,NA,0.3500000000000001,4.15,zone.1,14,441.79,438.04,2,3.0100000000000002,a2,a2,3.0100000000000002
1.5,2018-05-07,1.77,1.01,12.65,7.8,1.4000000000000004,0.6874999999999998,6.510000000000001,zone.1,15,441.36,438.04,3,1.8574999999999928,a2,a2,1.8574999999999928
1.5,2018-05-11,NA,1.11,14.59,8.94,NA,0.6874999999999998,3.710000000000001,zone.1,16,NA,438.04,1,NA,a2,a2,3.102499999999987
1.5,2018-05-14,NA,1.04,14.82,7.64,NA,0.6874999999999998,6.95,zone.1,17,442.81,438.04,2,4.3474999999999815,a2,a2,4.3474999999999815
3.1,2018-03-15,0,2,13.56,0,NA,0.6874999999999998,0,zone.3,1,431.67,428.67,1,3.6875,b1,b1,3.6875
3.1,2018-03-18,NA,1.13,14.45,7.27,NA,0.6874999999999998,6.290000000000001,zone.3,2,432.03,428.67,2,2.047499999999957,b1,b1,2.047499999999957
3.1,2018-03-22,NA,1.15,14.72,6.47,NA,0.6874999999999998,7.9799999999999995,zone.3,3,432.06,428.67,3,0.9474999999999862,b1,b1,0.9474999999999862
3.1,2018-03-26,1.53,1.16,14.28,7.55,2.749999999999999,2.3366666666666664,7.170000000000001,zone.3,4,432.28,428.67,0,1.6666666666666234,p1,p1,1.6666666666666234
3.1,2018-03-29,NA,3.14,27.35,7.99,NA,2.3366666666666664,6.289999999999999,zone.3,5,432.04,428.67,1,5.7066666666666706,p1,p1,5.7066666666666706
3.1,2018-04-01,NA,3.08,26.38,18.89,NA,2.3366666666666664,8.46,zone.3,6,434.32,428.67,2,4.846666666666644,p1,p1,4.846666666666644
3.1,2018-04-05,NA,3.03,23.91,13.98,NA,2.3366666666666664,12.399999999999999,zone.3,7,439.75,428.67,3,7.1966666666666494,a1.b2,a1.b2,7.1966666666666494
3.1,2018-04-09,3.4,1.08,13.49,12.22,7.01,0.7000000000000002,11.69,zone.3,8,437.99,428.67,0,0.7699999999999938,a1.b2,a1.b2,0.7699999999999938
3.1,2018-04-13,NA,1.07,14.32,7.65,NA,0.7000000000000002,5.84,zone.3,9,435.2,428.67,1,7.229999999999973,a1.b2,a1.b2,7.229999999999973
3.1,2018-04-16,NA,1.07,13.39,6.68,NA,0.7000000000000002,7.640000000000001,zone.3,10,433.26,428.67,2,4.219999999999975,a1.b2,a1.b2,4.219999999999975
3.1,2018-04-20,NA,1.09,14.37,7.81,NA,0.7000000000000002,5.580000000000001,zone.3,11,434.61,428.67,3,4.499999999999997,p2,p2,4.499999999999997
3.1,2018-04-24,2.21,3.01,25.67,6.22,2.1000000000000005,1.6233333333333333,8.149999999999999,zone.3,12,433.57,428.67,0,3.2933333333333104,p2,p2,3.2933333333333104
3.1,2018-04-28,NA,3.01,24.99,10.34,NA,1.6233333333333333,15.330000000000002,zone.3,13,NA,428.67,1,NA,p2,p2,7.013333333333325
3.1,2018-05-02,NA,3.06,26.9,16.36,NA,1.6233333333333333,8.629999999999999,zone.3,14,440.79,428.67,2,10.733333333333338,a2,a2,10.733333333333338
3.1,2018-05-07,4.21,1.01,14.68,13.94,4.87,NA,12.959999999999999,zone.3,15,442.42,428.67,3,NA,a2,a2,10.733333333333338
3.1,2018-05-11,NA,1.05,14.7,6.83,NA,NA,7.85,zone.3,16,NA,428.67,1,NA,a2,a2,10.733333333333338
3.1,2018-05-14,NA,1.03,14.78,7.37,NA,NA,7.329999999999999,zone.3,17,437.87,428.67,2,NA,a2,a2,10.733333333333338
